id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
4589145,23597108,Helen,Pittwater,-33.66073141,151.3191364,Private room,125,1,8,3/3/16,0.3,2,0,1,83
929559,5004627,Ken,Pittwater,-33.64960672,151.3162253,Entire home/apt,204,3,41,19/3/17,0.84,2,338,5,83
9119318,16357713,Don,Pittwater,-33.65557979,151.3051081,Entire home/apt,627,7,0,,,52,171,5,
10752795,3046924,Contemporary Hotels + Beach Houses,Pittwater,-33.60590748,151.3300844,Entire home/apt,1300,2,4,16/2/17,0.29,34,231,5,95
11808615,30832546,Tiff,Pittwater,-33.70657099,151.2959697,Entire home/apt,121,3,4,20/3/17,2.73,1,151,1,73
9510074,30021442,Northern Beaches Holidays,Pittwater,-33.62660093,151.3310073,Entire home/apt,901,14,0,,,34,0,3,
10102438,32038929,Katie,Pittwater,-33.62674471,151.3171678,Entire home/apt,180,2,28,25/3/17,1.85,1,339,2,98
7808710,41106869,Sharon,Pittwater,-33.62543065,151.3264309,Entire home/apt,570,2,5,6/1/17,0.32,1,86,9,100
4927328,25382466,David And Emily,Pittwater,-33.61729336,151.3346575,Entire home/apt,185,2,106,1/4/17,3.87,2,290,3,97
14359774,88043243,Theo,Pittwater,-33.60738465,151.328737,Entire home/apt,650,2,2,26/3/17,0.31,1,358,7,90
17718593,120790936,Geraldine,Pittwater,-33.63655236,151.3236977,Entire home/apt,176,2,0,,,1,57,1,
9712708,50142518,Petah,Pittwater,-33.64220686,151.3210107,Entire home/apt,292,1,45,25/3/17,2.84,4,334,6,93
8992184,727873,Louisa,Pittwater,-33.63613243,151.3071664,Entire home/apt,750,21,0,,,1,0,5,
143280,695349,Rob & Cathy,Pittwater,-33.69399909,151.29036,Entire home/apt,170,2,18,26/12/16,0.94,3,334,4,96
3093589,15733215,Charlie,Pittwater,-33.6291207,151.3351417,Entire home/apt,229,2,17,1/1/17,0.5,1,33,4,96
9318323,27443888,Louise,Pittwater,-33.6420374,151.3147528,Entire home/apt,422,4,2,3/1/17,0.16,1,136,6,100
